insectary,tray,stage1,stage2,stage3
CTID,A,150,126,111
CTID,B,150,125,109
CTID,C,150,120,108
MK,A,150,124,117
MK,B,150,129,123
MK,C,150,125,111
ACC,A,150,123,111
ACC,B,150,120,112
ACC,C,150,123,105
